Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2019-11-12,171.6,171.6,167.4,167.4,-2.11,2641.0,129.0,447.2
2019-11-08,170.2,173.0,166.2,171.0,0.71,6761.0,278.0,1146.92
2019-11-07,165.0,172.4,162.2,169.8,2.78,9617.0,362.0,1610.58
2019-11-06,171.0,176.0,165.0,165.2,-3.39,33757.0,586.0,5818.8
2019-11-05,165.0,172.0,165.0,171.0,3.76,30117.0,439.0,5080.0
2019-11-04,160.2,164.8,160.0,164.8,3.65,89931.0,408.0,14579.33
2019-10-31,157.8,159.8,156.6,159.0,0.76,7278.0,248.0,1151.31
2019-10-30,156.0,158.8,156.0,157.8,0.51,10549.0,254.0,1662.84
2019-10-29,151.4,158.4,151.4,157.0,3.29,62150.0,253.0,9568.78
2019-10-28,153.6,153.8,150.0,152.0,1.47,3907.0,153.0,591.67
2019-10-25,148.0,151.6,147.4,149.8,2.04,8697.0,227.0,1296.95
2019-10-24,146.0,148.6,146.0,146.8,0.55,11439.0,221.0,1683.06
2019-10-23,155.0,155.0,140.0,146.0,-5.19,59787.0,1190.0,8685.41
2019-10-22,164.4,164.4,150.0,154.0,-6.33,25401.0,733.0,3954.11
2019-10-21,163.0,167.0,162.2,164.4,1.61,3310.0,179.0,545.03
2019-10-18,164.6,167.4,160.0,161.8,-1.58,4598.0,231.0,747.84
2019-10-17,160.8,171.0,157.2,164.4,3.4,20310.0,457.0,3352.7
2019-10-16,159.6,160.0,158.0,159.0,-0.13,1453.0,95.0,230.32
2019-10-15,160.0,164.0,156.6,159.2,-1.73,11935.0,380.0,1920.15
2019-10-14,151.0,162.6,147.0,162.0,8.29,22757.0,317.0,3562.63
2019-10-11,149.6,153.0,148.2,149.6,0.81,9522.0,204.0,1428.82
2019-10-10,151.4,155.0,147.4,148.4,-1.72,14244.0,431.0,2154.33
2019-10-09,142.2,151.6,142.2,151.0,7.09,70852.0,778.0,10378.65
2019-10-08,133.6,143.4,133.6,141.0,6.5,8507.0,289.0,1192.24
2019-10-07,132.2,132.4,130.0,132.4,0.3,1012.0,45.0,133.42
2019-10-04,130.4,132.0,129.0,132.0,1.54,1046.0,64.0,136.67
2019-10-03,128.0,132.6,125.0,130.0,0.62,6426.0,259.0,829.92
2019-10-02,139.0,139.0,128.4,129.2,-7.18,8400.0,356.0,1107.63
2019-10-01,135.0,140.0,134.4,139.2,3.73,3520.0,105.0,481.41
2019-09-30,136.2,136.8,133.8,134.2,-1.47,3055.0,135.0,413.62
2019-09-27,136.0,140.6,135.8,136.2,-1.16,906.0,58.0,123.47
2019-09-26,138.0,138.0,135.6,137.8,0.58,1273.0,75.0,173.87
2019-09-25,139.8,140.0,137.0,137.0,-0.58,2440.0,78.0,338.87
2019-09-24,140.0,141.0,137.4,137.8,-1.85,1785.0,79.0,248.14
2019-09-23,145.0,145.0,139.4,140.4,-3.17,8102.0,214.0,1149.53
2019-09-20,138.4,145.0,138.0,145.0,4.77,11992.0,332.0,1706.13
2019-09-19,134.0,138.4,133.6,138.4,3.28,5536.0,93.0,746.03
2019-09-18,135.8,135.8,134.0,134.0,-1.33,1754.0,65.0,235.78
2019-09-17,134.4,136.2,134.0,135.8,-0.15,2432.0,65.0,327.38
2019-09-16,133.8,136.4,132.4,136.0,0.44,6123.0,129.0,822.28
2019-09-13,137.0,137.0,134.0,135.4,-1.46,5719.0,104.0,772.71
2019-09-12,138.2,138.4,136.0,137.4,-0.29,3305.0,59.0,451.89
2019-09-11,136.4,138.8,136.4,137.8,0.0,1715.0,61.0,236.21
2019-09-10,137.4,137.8,136.2,137.8,0.0,2627.0,79.0,359.32
2019-09-09,139.0,139.4,134.0,137.8,-0.86,7551.0,243.0,1032.82
2019-09-06,139.0,140.4,138.2,139.0,0.14,2455.0,68.0,341.94
2019-09-05,140.0,143.0,138.8,138.8,-0.86,3037.0,106.0,426.49
2019-09-04,139.8,142.0,138.4,140.0,-0.57,3453.0,139.0,484.99
2019-09-03,137.8,142.0,136.0,140.8,3.53,6728.0,209.0,943.73
2019-09-02,138.0,138.0,132.0,136.0,-1.45,7006.0,228.0,947.32
2019-08-30,139.4,143.0,138.0,138.0,0.0,22938.0,399.0,3223.68
2019-08-29,128.0,139.6,127.8,138.0,7.81,50445.0,809.0,6856.64
2019-08-28,124.8,129.4,122.8,128.0,4.92,23386.0,607.0,2956.0
2019-08-27,124.4,125.0,120.6,122.0,-2.09,8357.0,194.0,1025.82
2019-08-26,122.6,124.8,121.0,124.6,-0.32,5576.0,139.0,687.04
2019-08-23,122.8,126.0,121.8,125.0,2.8,4731.0,144.0,589.31
2019-08-22,122.4,123.0,119.8,121.6,-1.78,3205.0,144.0,387.87
2019-08-21,112.8,124.0,112.6,123.8,10.14,13028.0,286.0,1551.03
2019-08-20,115.0,117.4,112.4,112.4,-2.6,4379.0,97.0,499.22
2019-08-19,114.0,116.8,113.8,115.4,2.12,3974.0,104.0,458.8
2019-08-16,115.0,116.4,108.2,113.0,-1.57,13580.0,352.0,1517.7
2019-08-14,117.6,118.4,114.0,114.8,-2.71,2649.0,102.0,307.6
2019-08-13,118.0,119.0,114.6,118.0,1.55,4218.0,141.0,491.58
2019-08-12,117.6,119.8,116.0,116.2,-1.02,2944.0,101.0,344.72
2019-08-09,122.0,122.0,117.4,117.4,-2.17,2199.0,88.0,260.85
2019-08-08,118.0,120.6,116.0,120.0,2.74,2795.0,110.0,329.55
2019-08-07,122.4,122.4,116.4,116.8,-2.83,6713.0,196.0,794.33
2019-08-06,119.0,121.6,118.8,120.2,1.01,3176.0,115.0,381.74
2019-08-05,122.8,122.8,118.8,119.0,-3.25,8245.0,278.0,990.98
2019-08-02,126.4,127.4,122.4,123.0,-2.69,4114.0,147.0,509.67
2019-08-01,128.8,131.4,125.6,126.4,-1.86,7999.0,200.0,1034.57
2019-07-31,122.8,130.0,122.8,128.8,4.89,11693.0,276.0,1494.67
